Id;ClasseImovel;ClasseZona;Fachada;TamanhoLote;Rua;FormaProp;PlanoProp;Servicos;ConfigLote;InclinacaoLote;Bairro;Estrada1;Estrada2;TipoHabitacao;EstiloHabitacao;Qualidade;Condicao;AnoConstrucao;AnoReforma;TipoTelhado;MaterialTelhado;Exterior1;Exterior2;TipoAlvenaria;AreaAlvenaria;QualidadeCobertura;CondicaoExterna;TipoFundacao;AlturaPorao;CondicaoPorao;ParedePorao;TipoAcabPorao1;AreaAcabPorao1;TipoAcabPorao2;AreaAcabPorao2;AreaInacabPorao;AreaPorao;Aquecimento;QualidadeAquecimento;ArCentral;InstalacaoEletrica;AreaTerreo;Area2Andar;BaixaQualiAreaAcab;AreaConstruida;BanheiroPorao;LavaboPorao;Banheiro;Lavabo;BedroomAbvGr;KitchenAbvGr;QualidadeCozinha;TotalQuartos;Funcionalidade;Lareira;LocalGaragem;AnoGaragem;AcabamentoGaragem;CarrosGaragem;AreaGaragem;QualidadeGaragem;CondicaoGaragem;EntradaPavimentada;AreaDeck;AreaVarandaAberta;AreaVarandaFechada;AreaVaranda3Estacoes;AreaAlpendre;AreaPiscina;ValorOutros;MesVenda;AnoVenda;TipoVenda;CondicaoVenda;PrecoVenda;AreaExt;Precom2;Quartosm2
1;60;RL;65,0;8450;Pave;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;Norm;Norm;1Fam;2Story;7;5;2003;2003;Gable;CompShg;VinylSd;VinylSd;BrkFace;196,0;Gd;TA;PConc;Gd;TA;No;GLQ;706;Unf;0;150;856;GasA;Ex;Y;SBrkr;856;854;0;1710;1;0;2;1;3;1;Gd;8;Typ;0;Attchd;2003,0;RFn;2;548;TA;TA;Y;0;61;0;0;0;0;0;2;2008;WD;Normal;208500;61;182,9298245614035;61,0046783625731
2;20;RL;80,0;9600;Pave;Reg;Lvl;AllPub;FR2;Gtl;Veenker;Feedr;Norm;1Fam;1Story;6;8;1976;1976;Gable;CompShg;MetalSd;MetalSd;None;0,0;TA;TA;CBlock;Gd;TA;Gd;ALQ;978;Unf;0;284;1262;GasA;Ex;Y;SBrkr;1262;0;0;1262;0;1;2;0;3;1;TA;6;Typ;1;Attchd;1976,0;RFn;2;460;TA;TA;Y;298;0;0;0;0;0;0;5;2007;WD;Normal;181500;298;441,8193343898574;298,0047543581617
3;60;RL;68,0;11250;Pave;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;Norm;Norm;1Fam;2Story;7;5;2001;2002;Gable;CompShg;VinylSd;VinylSd;BrkFace;162,0;Gd;TA;PConc;Gd;TA;Mn;GLQ;486;Unf;0;434;920;GasA;Ex;Y;SBrkr;920;866;0;1786;1;0;2;1;3;1;Gd;6;Typ;1;Attchd;2001,0;RFn;2;608;TA;TA;Y;0;42;0;0;0;0;0;9;2008;WD;Normal;223500;42;167,13997760358342;42,003359462486
4;70;RL;60,0;9550;Pave;IR1;Lvl;AllPub;Corner;Gtl;Crawfor;Norm;Norm;1Fam;2Story;7;5;1915;1970;Gable;CompShg;Wd Sdng;Wd Shng;None;0,0;TA;TA;BrkTil;TA;Gd;No;ALQ;216;Unf;0;540;756;GasA;Gd;Y;SBrkr;961;756;0;1717;1;0;1;0;3;1;Gd;7;Typ;1;Detchd;1998,0;Unf;3;642;TA;TA;Y;0;35;272;0;0;0;0;2;2006;WD;Abnorml;140000;307;388,537565521258;307,00407687827607
5;60;RL;84,0;14260;Pave;IR1;Lvl;AllPub;FR2;Gtl;NoRidge;Norm;Norm;1Fam;2Story;8;5;2000;2000;Gable;CompShg;VinylSd;VinylSd;BrkFace;350,0;Gd;TA;PConc;Gd;TA;Av;GLQ;655;Unf;0;490;1145;GasA;Ex;Y;SBrkr;1145;1053;0;2198;1;0;2;1;4;1;Gd;9;Typ;1;Attchd;2000,0;RFn;3;836;TA;TA;Y;192;84;0;0;0;0;0;12;2008;WD;Normal;250000;276;389,7397634212921;276,00409463148316
6;50;RL;85,0;14115;Pave;IR1;Lvl;AllPub;Inside;Gtl;Mitchel;Norm;Norm;1Fam;1.5Fin;5;5;1993;1995;Gable;CompShg;VinylSd;VinylSd;None;0,0;TA;TA;Wood;Gd;TA;No;GLQ;732;Unf;0;64;796;GasA;Ex;Y;SBrkr;796;566;0;1362;1;0;1;1;1;1;TA;5;Typ;0;Attchd;1993,0;Unf;2;480;TA;TA;Y;40;30;0;320;0;0;700;10;2009;WD;Normal;143000;390;494,99265785609396;390,003671071953
7;20;RL;75,0;10084;Pave;Reg;Lvl;AllPub;Inside;Gtl;Somerst;Norm;Norm;1Fam;1Story;8;5;2004;2005;Gable;CompShg;VinylSd;VinylSd;Stone;186,0;Gd;TA;PConc;Ex;TA;Av;GLQ;1369;Unf;0;317;1686;GasA;Ex;Y;SBrkr;1694;0;0;1694;1;0;2;0;3;1;Gd;7;Typ;1;Attchd;2004,0;RFn;2;636;TA;TA;Y;255;57;0;0;0;0;0;8;2007;WD;Normal;307000;312;493,22786304604483;312,004132231405
8;60;RL;;10382;Pave;IR1;Lvl;AllPub;Corner;Gtl;NWAmes;PosN;Norm;1Fam;2Story;7;6;1973;1973;Gable;CompShg;HdBoard;HdBoard;Stone;240,0;TA;TA;CBlock;Gd;TA;Mn;ALQ;859;BLQ;32;216;1107;GasA;Ex;Y;SBrkr;1107;983;0;2090;1;0;2;1;3;1;TA;7;Typ;2;Attchd;1973,0;RFn;2;484;TA;TA;Y;235;204;228;0;0;0;350;11;2009;WD;Normal;200000;667;762,6937799043062;667,0033492822967
9;50;RM;51,0;6120;Pave;Reg;Lvl;AllPub;Inside;Gtl;OldTown;Artery;Norm;1Fam;1.5Fin;7;5;1931;1950;Gable;CompShg;BrkFace;Wd Shng;None;0,0;TA;TA;BrkTil;TA;TA;No;Unf;0;Unf;0;952;952;GasA;Gd;Y;FuseF;1022;752;0;1774;0;0;2;0;2;2;TA;8;Min1;2;Detchd;1931,0;Unf;2;468;Fa;TA;Y;90;0;205;0;0;0;0;4;2008;WD;Abnorml;129900;295;368,22435174746334;295,0045095828636
10;190;RL;50,0;7420;Pave;Reg;Lvl;AllPub;Corner;Gtl;BrkSide;Artery;Artery;2fmCon;1.5Unf;5;6;1939;1950;Gable;CompShg;MetalSd;MetalSd;None;0,0;TA;TA;BrkTil;TA;TA;No;GLQ;851;Unf;0;140;991;GasA;Ex;Y;SBrkr;1077;0;0;1077;1;0;1;0;2;2;TA;5;Typ;2;Attchd;1939,0;RFn;1;205;Gd;TA;Y;0;4;0;0;0;0;0;1;2008;WD;Normal;118000;4;113,5636025998143;4,004642525533891
